created_at,text
2018-11-09 19:09:39,"@DNC , when you start stealing elections.....that WILL start a civil war. #MidtermElection2018 #FloridaVoterFraud #VoterFraud2018"
2018-11-09 18:52:42,Votes that are not in by a deadline should be precluded from the process by virtue of the rules of a VALID process… https://t.co/QSbiFaZjd6
2018-11-09 18:23:07,Please repent. It’s so good for you and everyone around you. It’s so powerful. Everything else #FloridaRecount2018… https://t.co/EaKWUmJgit
2018-11-09 18:22:36,@realDonaldTrump You are actually right about something. Our entire voting system is antiquated and embarrassing. I… https://t.co/3eYopqSFwr
2018-11-09 18:22:22,"I'd Like to Translate #RickScott statements on the #FloridaRecount2018 ""I will not stand idly by while i watch all… https://t.co/QLB85a4miO"
2018-11-09 18:13:58,I have an odd fetish. I like to stuff #ballots up my ass &amp; then have politicians attempt to pull out their parties… https://t.co/XlLd5NN67i
2018-11-09 18:09:08,"I know the last thing 
the Republicans are saying is an election is being stolen 
#Gillum 
#MidtermElection2018"
2018-11-09 17:47:20,Hey I just found a box of ballots from Ohio from 2008. Turns out @MittRomney won the State. This is what Is happeni… https://t.co/Df6ugF28qS
2018-11-09 17:41:04,@NBCNews Explain to #US how counting every vote in #MidtermElection2018 is a “disgrace”. @potus has no respect what… https://t.co/qTahpRlzWB
2018-11-09 17:34:12,The bias @HoustonChron decides to retract 8 stories that probably influenced voters two days after the #MidtermElection2018 How convenient.
2018-11-09 17:27:00,@Amy_Siskind Without a doubt! Other states should be checked too. This vote flipping was happening in Texas! Ted Cr… https://t.co/VVmcJSXyPL
2018-11-09 17:22:08,".@cavuto #Florida #Arizona why weren't these ""issues"" addressed BEFORE #MidtermElection2018 ????  I smell a DemocRAT"
2018-11-09 17:08:45,"It’s not an argument to say that the democrats lost the midterms, because well... they won. But in historical terms… https://t.co/PS9OOM5IMW"
2018-11-09 16:56:36,"If Sinema and Nelson win their respective races it blows the GOP narrative that they're spinning they had a ""great""… https://t.co/hRDDIp7kPj"
2018-11-09 16:27:51,"If you believe that all the votes shouldn’t be counted (including absentee ballots from our veterans, diplomats, se… https://t.co/AYfvX1MDLu"
2018-11-09 16:25:00,FACT: Counting all the ballots isn’t changing the result of election… That is the result of the election! #MidtermElection2018
2018-11-09 16:14:48,"@realDonaldTrump @BrianKempGA Count. Every. Vote.
#MidtermElection2018 
#Georgia 
#Florida 
#Arizona"
2018-11-09 16:13:18,"FACT: Absentee ballots Include the votes of our veterans, seniors, citizens abroad, and our diplomats. And these ci… https://t.co/hK8JxgBGXI"
2018-11-09 16:09:57,FACT: Final results aren’t dictated by the EP or any other sources. The final results are dictated by the voters. I… https://t.co/hkZPSPwaJ3
2018-11-09 16:07:36,#MidtermElection2018 In County of San Bernardino CA the #SheriffDept picks up paper ballots and they are air lifted… https://t.co/i3nMyx1XFx
2018-11-09 15:53:21,@Ocasio2018 Maybe get a job waiting tables until January? Just a thought? #FridayMotivation #MidtermElection2018
2018-11-09 15:51:47,I hate vote tampering and voter suppression. Over half the country doesn’t even vote. So why are the ones who do vo… https://t.co/3FgqgVTkIy
2018-11-09 15:32:32,@PeterAlexander He’s talking about how #BrianKemp of #Georgia and #RickScott of #Florida rigged the respective… https://t.co/Byb2yljwN0
2018-11-09 14:34:36,"Trump: “I want to build a wall.”
Maxine Waters: “You got wall money?” 

#Midterms2018 #AuntieMaxine #MidtermElection2018 #HouseDemocrats"
2018-11-09 14:29:35,I don’t really know why this needs to be said but counting votes after Election Day is not ‘changing’ the vote coun… https://t.co/y3Mqn3pNKF
2018-11-09 13:55:26,Why aren’t elected officials and those seeking election held to account with libel and slander law suits?… https://t.co/qZMuKCI7lh
2018-11-09 13:50:31,"Should we be throwing stones about #democracy given our own ethics, particularly in the most recent… https://t.co/OAef6RDp9b"
